Metric,Value
design__instance__count,5147
design__instance__area,38494.4
design__instance_unmapped__count,0
synthesis__check_error__count,64
design__max_slew_violation__count__corner:nom_tt_025C_1v80,977
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,32
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009562899358570576
power__switching__total,0.002041327767074108
power__leakage__total,4.463221259243255E-8
power__total,0.0029976624064147472
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.03765779461517393
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5376578223707503
timing__hold__ws__corner:nom_tt_025C_1v80,1.9576953945394122
timing__setup__ws__corner:nom_tt_025C_1v80,3.395243737814608
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.166309
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1362
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,32
design__max_cap_violation__count__corner:nom_ss_100C_1v60,663
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.28113681622888537
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7811368439844618
timing__hold__ws__corner:nom_ss_100C_1v60,1.0660055362382912
timing__setup__ws__corner:nom_ss_100C_1v60,1.9685733600423394
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.479118
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,513
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,32
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.09736758896966749
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.45379148945193726
timing__hold__ws__corner:nom_ff_n40C_1v95,2.332032410963719
timing__setup__ws__corner:nom_ff_n40C_1v95,3.878166786367216
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.836027
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1368
design__max_fanout_violation__count,32
design__max_cap_violation__count,697
clock__skew__worst_hold,0.28113681622888537
clock__skew__worst_setup,0.4495864086049392
timing__hold__ws,1.0087961862505759
timing__setup__ws,1.9241835336379267
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.451007
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 401.58 136.0
design__core__bbox,2.76 2.72 398.82 133.28
design__io,77
design__die__area,54614.9
design__core__area,51709.6
design__instance__count__stdcell,5147
design__instance__area__stdcell,38494.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.744435
design__instance__utilization__stdcell,0.744435
design__instance__count__class:antenna_cell,268
design__instance__count__class:buffer,184
design__instance__count__class:inverter,256
design__instance__count__class:clock_gate_cell,128
design__instance__count__class:sequential_cell,1088
design__instance__count__class:multi_input_combinational_cell,1295
flow__warnings__count,0
flow__errors__count,0
dffram__suggested__core_width,396.06
dffram__suggested__core_height,130.56
dffram__logic__density,0.648385
design__instance__count__class:fill_cell,976
design__instance__count__class:tap_cell,1928
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
antenna__violating__nets,2
antenna__violating__pins,2
route__net,1970
route__net__special,2
route__drc_errors__iter:1,1894
route__wirelength__iter:1,102284
route__drc_errors__iter:2,1055
route__wirelength__iter:2,101967
route__drc_errors__iter:3,978
route__wirelength__iter:3,101781
route__drc_errors__iter:4,3
route__wirelength__iter:4,101744
route__drc_errors__iter:5,0
route__wirelength__iter:5,101743
route__drc_errors,0
route__wirelength,101743
route__vias,14952
route__vias__singlecut,14952
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,577.2
timing__unannotated_net__count__corner:nom_tt_025C_1v80,9
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,9
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,9
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,934
design__max_fanout_violation__count__corner:min_tt_025C_1v80,32
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.030932729475611674
