Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,30
design__inferred_latch__count,0
design__instance__count,64970
design__instance__area,5.62557E+6
design__instance_unmapped__count,0
synthesis__check_error__count,11
design__max_slew_violation__count__corner:nom_tt_025C_1v80,382
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,33
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000001594469267729437
power__switching__total,0.00000954541792452801
power__leakage__total,1.853954856301243E-8
power__total,0.000011158426787005737
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,1.0000000433293989E+39
timing__setup__ws__corner:nom_tt_025C_1v80,1.0000000433293989E+39
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,382
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,33
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0
timing__hold__ws__corner:nom_ss_100C_1v60,1.0000000433293989E+39
timing__setup__ws__corner:nom_ss_100C_1v60,1.0000000433293989E+39
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,382
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,33
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0
timing__hold__ws__corner:nom_ff_n40C_1v95,1.0000000433293989E+39
timing__setup__ws__corner:nom_ff_n40C_1v95,1.0000000433293989E+39
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,440
design__max_fanout_violation__count,33
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,1.0000000433293989E+39
timing__setup__ws,1.0000000433293989E+39
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,64969
design__instance__area__stdcell,83103.5
design__instance__count__macros,1
design__instance__area__macros,5.54246E+6
design__instance__utilization,0.552937
design__instance__utilization__stdcell,0.017943
design__instance__count__class:macro,1
design__instance__count__class:buffer,3
design__instance__count__class:inverter,1
design__instance__count__class:multi_input_combinational_cell,307
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,454313
design__instance__count__class:tap_cell,64095
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,435295
design__violations,0
design__instance__count__class:timing_repair_buffer,22
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,9
antenna__violating__pins,9
route__antenna_violation__count,9
antenna_diodes_count,541
design__instance__count__class:antenna_cell,541
route__net,741
route__net__special,8
route__drc_errors__iter:1,442
route__wirelength__iter:1,459582
route__drc_errors__iter:2,38
route__wirelength__iter:2,459886
route__drc_errors__iter:3,7
route__wirelength__iter:3,459901
route__drc_errors__iter:4,0
route__wirelength__iter:4,459914
route__drc_errors,0
route__wirelength,459914
route__vias,2338
route__vias__singlecut,2338
route__vias__multicut,0
design__disconnected_pin__count,258
design__critical_disconnected_pin__count,0
route__wirelength__max,4976.43
timing__unannotated_net__count__corner:nom_tt_025C_1v80,758
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,132
timing__unannotated_net__count__corner:nom_ss_100C_1v60,758
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,132
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,758
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,132
design__max_slew_violation__count__corner:min_tt_025C_1v80,316
design__max_fanout_violation__count__corner:min_tt_025C_1v80,33
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.0
timing__hold__ws__corner:min_tt_025C_1v80,1.0000000433293989E+39
timing__setup__ws__corner:min_tt_025C_1v80,1.0000000433293989E+39
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
